index,name,family,bank,technical,residual,peak,rms,crest075_db,safety_hit_pct_102,dc,w0_30_db,w30_80_db,w80_180_db,w180_400_db,w400_750_db,low80_180_db,low180_400_rel_db,low400_750_rel_db,near_peak90_075_pct,tail_rms_db,tail_mean,decay_drop_db,safety_hit_pct_91,delta_safety,stage103_added_trim,predicted_safety_linear
25,Tight Basement / HEAVY,ROUND,HEAVY,1,1,0.922571,0.118318,8.5983,0.0583333,-7.73927e-07,-6.03877,-4.03763,-6.71482,-9.5641,-13.5881,-14.9228,0.358894,-3.58903,1.19444,-77.1681,-1.20792e-07,35.7075,0.0354167,0.022916599999999995,0.7,0.05145832
26,Sub Foundation / HEAVY,ROUND,HEAVY,0,1,0.922571,0.112138,8.86359,0.104167,-1.27385e-06,-5.6874,-4.06443,-6.91847,-9.75497,-14.7923,-14.5688,0.192719,-4.45266,1.35556,-93.0062,-9.56531e-08,43.577,0.0375,0.066667,0.7,0.08416689999999999
27,Warm Reactor / HEAVY,ROUND,HEAVY,0,1,0.922571,0.116004,8.65385,0.10625,-1.45759e-06,-5.61334,-4.05557,-6.83951,-9.46263,-14.1244,-14.4401,0.42982,-3.60087,1.40833,-81.9015,-2.22457e-07,37.6042,0.0479167,0.0583333,0.7,0.08875000999999999
28,Black Drum / HEAVY,ROUND,HEAVY,1,1,0.922571,0.121715,8.42018,0.0770833,-6.95374e-07,-6.02193,-4.14468,-6.39852,-9.37582,-13.1941,-15.0961,0.597932,-3.15993,1.325,-73.182,2.04406e-06,33.7366,0.04375,0.033333299999999996,0.7,0.06708331
29,Sub Vault / HEAVY,ROUND,HEAVY,1,1,0.922571,0.122141,8.33283,0.0708333,-6.59153e-07,-5.80018,-3.97897,-6.50671,-9.10211,-13.2895,-14.8348,0.842129,-2.93222,1.44722,-76.6017,-1.01264e-06,35.51,0.0604167,0.010416600000000005,0.7,0.06770832
30,Clean Weight / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.108034,9.29657,0.0125,-2.54233e-08,-6.23804,-4.40981,-7.177,-10.5171,-14.9772,-14.7016,-0.323573,-4.65736,0.588889,-76.2754,-6.77269e-07,33.797,0.0,0.0125,1.0,0.0125
31,Club Anchor / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.114977,8.7864,0.0145833,-4.04751e-08,-5.85621,-4.15248,-6.91752,-9.73956,-14.0695,-13.9998,0.07709,-4.12007,1.15,-75.3604,-4.56551e-07,33.7451,0.00833333,0.0062499700000000005,1.0,0.0145833
32,Deep Concrete / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.11008,9.15122,0.025,-7.67727e-08,-6.13793,-4.36792,-7.09609,-10.2571,-14.7316,-14.6601,-0.176117,-4.47659,0.763889,-75.8283,5.49822e-07,33.7831,0.00208333,0.02291667,1.0,0.025
33,Round Hammer / SUSTAIN,ROUND,SUSTAIN,1,1,0.910851,0.105625,9.45148,0.0,4.49593e-08,-6.96495,-4.7326,-7.20559,-10.9286,-15.0444,-15.262,-0.84958,-5.0569,0.441667,-75.5067,-1.3275e-07,33.7986,0.0,0.0,1.0,0.0
34,Dark Pulse / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.114596,8.8571,0.0291667,-2.97658e-07,-6.08929,-4.22646,-6.8011,-9.90446,-14.17,-14.732,0.123423,-3.88831,0.847222,-74.7258,-1.88491e-06,33.6404,0.00625,0.022916699999999998,1.0,0.029166699999999997
35,Tight Basement / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.113485,9.01269,0.025,-6.74659e-08,-6.67076,-4.43157,-6.91785,-10.0806,-14.0669,-15.4073,-0.202675,-4.25937,0.705556,-73.9176,-6.94247e-07,33.6894,0.0,0.025,1.0,0.025
36,Sub Foundation / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.11228,8.99095,0.0458333,-2.28132e-07,-6.14463,-4.30511,-6.86898,-10.0793,-14.4639,-15.0846,-0.0789654,-4.40952,0.997222,-80.6089,5.81855e-07,37.0696,0.0125,0.033333299999999996,1.0,0.045833299999999993
37,Warm Reactor / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.114891,8.86038,0.04375,-3.69284e-07,-6.06968,-4.24474,-6.8243,-9.94613,-14.0709,-14.9736,0.11971,-3.87723,1.04722,-74.3215,-1.28715e-06,33.7646,0.01875,0.024999999999999998,1.0,0.04375
38,Black Drum / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.115068,8.90066,0.0166667,-1.72643e-07,-6.47847,-4.54855,-6.63877,-9.95019,-13.9814,-15.5266,-0.0130228,-4.02565,0.669444,-73.798,-2.27757e-06,33.7234,0.0,0.0166667,1.0,0.0166667
39,Sub Vault / SUSTAIN,ROUND,SUSTAIN,1,1,0.922571,0.118246,8.65092,0.0270833,-7.71176e-08,-6.19445,-4.28662,-6.59158,-9.61527,-13.5959,-15.0634,0.18207,-3.64548,1.06111,-73.6831,2.83422e-06,33.7584,0.01875,0.008333300000000002,1.0,0.0270833
40,Clean Weight / MUTANT,ROUND,MUTANT,1,1,0.918176,0.102588,9.57702,0.0,6.46127e-11,-6.26568,-4.48175,-7.34505,-11.0352,-15.8839,-14.5391,-0.929466,-5.68207,0.580556,-89.9059,3.99127e-07,40.7194,0.0,0.0,1.0,0.0
41,Club Anchor / MUTANT,ROUND,MUTANT,1,1,0.922571,0.107865,9.1959,0.00416667,-1.59094e-08,-5.94358,-4.29018,-7.21467,-10.1842,-15.2331,-13.9253,-0.532032,-5.14932,0.861111,-89.5615,2.15488e-07,40.8938,0.0,0.00416667,1.0,0.00416667
42,Deep Concrete / MUTANT,ROUND,MUTANT,1,1,0.922571,0.104058,9.49585,0.00625,-1.95027e-08,-6.17011,-4.42965,-7.2452,-10.7968,-15.7807,-14.5783,-0.728324,-5.44562,0.594444,-90.6873,-1.70937e-07,41.4539,0.0,0.00625,1.0,0.00625
43,Round Hammer / MUTANT,ROUND,MUTANT,1,1,0.908545,0.0970151,9.91916,0.0,-6.43974e-09,-6.89639,-4.90819,-7.30187,-11.6855,-16.8334,-15.2659,-1.36224,-6.68638,0.413889,-101.763,2.62207e-08,47.3499,0.0,0.0,1.0,0.0
44,Dark Pulse / MUTANT,ROUND,MUTANT,1,1,0.922571,0.109185,9.1383,0.0104167,-1.30163e-08,-6.1021,-4.39535,-6.99825,-10.2375,-14.8256,-14.5169,-0.37542,-4.88283,0.658333,-86.0497,-1.99e-07,39.4918,0.00208333,0.00833337,1.0,0.0104167
45,Tight Basement / MUTANT,ROUND,MUTANT,1,1,0.918733,0.103107,9.54561,0.0,9.53296e-09,-6.7592,-4.55266,-7.127,-10.9124,-15.7911,-15.3858,-0.972265,-5.79045,0.538889,-97.2728,-5.97636e-08,45.7592,0.0,0.0,1.0,0.0
46,Sub Foundation / MUTANT,ROUND,MUTANT,1,1,0.922571,0.101125,9.64022,0.01875,-6.15151e-08,-6.2381,-4.4285,-7.04932,-11.1044,-16.7526,-15.2096,-0.972157,-6.4577,0.758333,-116.108,-4.34434e-09,55.6841,0.00416667,0.014583329999999999,1.0,0.01875
47,Warm Reactor / MUTANT,ROUND,MUTANT,1,1,0.922571,0.104517,9.41939,0.0291667,-9.55738e-08,-6.14584,-4.39194,-7.07701,-10.706,-15.8073,-14.8689,-0.7415,-5.79153,0.813889,-102.02,5.34763e-10,48.0806,0.00833333,0.02083337,1.0,0.0291667
48,Black Drum / MUTANT,ROUND,MUTANT,1,1,0.91827,0.110921,9.0905,0.0,2.53144e-08,-6.58023,-4.69329,-6.68289,-10.3111,-14.4822,-15.3829,-0.413293,-4.51902,0.65,-78.7061,-4.03457e-07,36.072,0.0,0.0,1.0,0.0
49,Sub Vault / MUTANT,ROUND,MUTANT,1,1,0.922571,0.107691,9.19845,0.00208333,1.24045e-09,-6.29478,-4.37288,-6.83797,-10.3396,-15.2665,-15.1647,-0.291927,-5.20469,0.75,-96.6749,-3.66086e-08,45.4883,0.00416667,-0.00208334,1.0,0.00208333
50,Clean Attack,PUNCH,CORE,1,1,0.922571,0.0671,13.0652,0.0416667,-1.36419e-07,-6.03495,-5.21697,-11.0483,-22.9777,-39.7962,-19.59,-10.5338,-28.3108,0.580556,-300.0,-1.51821e-23,100.304,0.0416667,0.0,1.0,0.0416667
51,Pressure Point,PUNCH,CORE,1,1,0.922571,0.0660963,13.1962,0.0270833,-5.68706e-08,-5.86198,-5.64474,-11.0428,-22.5224,-36.6998,-19.8777,-9.445,-24.6478,0.536111,-300.0,1.74525e-20,127.508,0.0270833,0.0,1.0,0.0270833
52,Warehouse Knock,PUNCH,CORE,1,1,0.922571,0.0688104,12.8468,0.0604167,-2.39602e-07,-5.77145,-5.01422,-10.9781,-22.0745,-35.8036,-18.7176,-9.01328,-23.95,1.09167,-300.0,8.6364e-20,132.277,0.0604167,0.0,1.0,0.0604167
53,Fast Driver,PUNCH,CORE,1,1,0.922571,0.0705613,12.6284,0.0645833,-2.5784e-07,-5.83243,-5.01029,-10.2322,-21.1729,-36.0744,-18.8189,-9.40657,-25.1153,1.08056,-300.0,-8.27927e-22,120.181,0.0645833,0.0,1.0,0.0645833
54,Techno Nail,PUNCH,CORE,1,1,0.922571,0.0696772,12.738,0.0333333,-8.47095e-08,-5.85,-5.40387,-10.0583,-20.8637,-35.2328,-19.2662,-8.69815,-23.4979,0.658333,-300.0,4.1450499999999994e-20,128.964,0.0333333,0.0,1.0,0.0333333
55,Needle Punch,PUNCH,CORE,1,1,0.922571,0.0703546,12.6549,0.025,-4.73419e-08,-5.98576,-5.43605,-9.97537,-19.5273,-31.1566,-19.0169,-8.06879,-20.4835,0.563889,-293.072,7.587830000000001e-18,149.72,0.025,0.0,1.0,0.025
56,Front Row,PUNCH,CORE,1,1,0.922571,0.0659606,13.215,0.00625,-9.29345e-09,-6.00517,-5.78915,-11.1807,-20.6104,-32.3023,-19.5845,-8.12094,-20.5176,0.458333,-287.95,-2.05745e-17,145.722,0.00625,0.0,1.0,0.00625
57,Steel Toe,PUNCH,CORE,1,1,0.922571,0.071403,12.5263,0.06875,-3.08472e-07,-5.70103,-5.05684,-10.1958,-19.9489,-32.0716,-18.2991,-8.29003,-21.1419,1.08611,-290.69,3.13044e-17,147.68,0.06875,0.0,1.0,0.06875
58,Impact Driver,PUNCH,CORE,1,1,0.922571,0.0667188,13.1148,0.00416667,-8.86484e-09,-6.13553,-5.75282,-10.45,-21.7582,-36.606,-20.2857,-9.40496,-25.2557,0.505556,-300.0,3.01977e-22,115.047,0.00416667,0.0,1.0,0.00416667
59,Concrete Punch,PUNCH,CORE,1,1,0.922571,0.0724758,12.3965,0.0645833,-2.69562e-07,-5.62586,-5.13809,-9.7393,-19.6793,-31.5468,-18.3468,-8.08691,-21.0179,1.16389,-300.0,-3.4195e-18,151.036,0.0645833,0.0,1.0,0.0645833
60,Clean Attack / TIGHT,PUNCH,TIGHT,1,1,0.922571,0.0619577,13.7577,0.0125,-1.82138e-08,-6.01349,-5.90279,-12.2382,-26.1471,-46.2911,-21.2435,-12.3626,-33.2543,0.486111,-300.0,-2.51742e-28,55.5031,0.0166667,-0.004166699999999999,1.0,0.0125
61,Pressure Point / TIGHT,PUNCH,TIGHT,1,1,0.92166,0.0595663,14.091,0.0,-1.53788e-09,-6.06698,-6.25613,-12.9406,-26.5676,-45.1484,-22.0234,-11.5935,-31.4598,0.402778,-300.0,-4.3858399999999995e-27,70.9126,0.0,0.0,1.0,0.0
62,Warehouse Knock / TIGHT,PUNCH,TIGHT,1,1,0.922571,0.06385,13.4964,0.0395833,-1.52403e-07,-5.86769,-5.38602,-12.4256,-25.884,-43.9394,-20.3631,-11.4331,-30.6893,0.838889,-300.0,-7.91383e-26,78.1904,0.0375,0.002083300000000003,1.0,0.0395833
63,Fast Driver / TIGHT,PUNCH,TIGHT,1,1,0.922571,0.064134,13.4579,0.0270833,-6.43689e-08,-5.83762,-5.67023,-11.6672,-25.6725,-44.9408,-20.6861,-12.1835,-32.7001,0.525,-300.0,2.22731e-27,62.2424,0.0354167,-0.008333400000000001,1.0,0.0270833
64,Techno Nail / TIGHT,PUNCH,TIGHT,1,1,0.919881,0.0631087,13.5725,0.0,1.40438e-09,-6.04246,-5.91627,-11.6028,-25.0875,-43.144,-21.0946,-11.3025,-30.2128,0.466667,-300.0,-1.9018400000000002e-26,73.8749,0.0,0.0,1.0,0.0
65,Needle Punch / TIGHT,PUNCH,TIGHT,1,1,0.918953,0.0633303,13.5333,0.0,1.53399e-09,-6.18513,-5.92638,-11.6134,-22.8982,-38.1601,-20.839,-10.2706,-26.1099,0.408333,-300.0,-2.39734e-22,109.661,0.0,0.0,1.0,0.0
66,Front Row / TIGHT,PUNCH,TIGHT,1,1,0.903861,0.0593492,13.9534,0.0,2.79359e-09,-6.22053,-6.44958,-12.7982,-24.0063,-38.9956,-21.4924,-9.95322,-25.8027,0.369444,-300.0,1.07983e-21,112.745,0.0,0.0,1.0,0.0
67,Steel Toe / TIGHT,PUNCH,TIGHT,1,1,0.922571,0.0657745,13.2385,0.0416667,-1.73497e-07,-5.76164,-5.54359,-11.4016,-23.083,-38.6225,-19.8352,-10.2489,-26.8681,0.738889,-300.0,-3.39684e-22,111.352,0.0458333,-0.0041665999999999995,1.0,0.0416667
68,Impact Driver / TIGHT,PUNCH,TIGHT,1,1,0.905932,0.0591521,14.0021,0.0,3.8046e-09,-6.38166,-6.44954,-12.429,-26.0945,-45.4729,-22.5056,-11.9084,-31.8463,0.402778,-300.0,-1.7632e-28,55.8974,0.0,0.0,1.0,0.0
69,Concrete Punch / TIGHT,PUNCH,TIGHT,1,1,0.922571,0.0662384,13.1775,0.0375,-1.09032e-07,-5.74371,-5.52947,-11.1665,-23.2664,-39.3744,-20.0585,-10.0873,-26.9541,0.675,-300.0,-3.69351e-23,102.61,0.0354167,0.0020832999999999963,1.0,0.0375
70,Clean Attack / HEAVY,PUNCH,HEAVY,0,1,0.922571,0.0705156,12.6341,0.116667,-1.33708e-06,-5.98817,-4.89227,-10.3284,-21.196,-35.4896,-18.5666,-9.3449,-24.5536,0.930556,-300.0,-4.66104e-21,128.563,0.0625,0.05416700000000001,0.3,0.0787501
71,Pressure Point / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0699479,12.7048,0.0791667,-5.23608e-07,-5.77073,-5.34703,-10.2185,-20.3661,-33.1193,-18.855,-8.27626,-22.1167,0.752778,-300.0,-3.5341500000000006e-18,151.452,0.0520833,0.027083400000000007,0.3,0.06020832
72,Warehouse Knock / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0711432,12.5578,0.0958333,-1.07963e-06,-5.80003,-4.86957,-10.4344,-20.4241,-32.5355,-18.1013,-8.03855,-21.5447,1.15278,-293.267,-1.95024e-17,148.709,0.0708333,0.024999999999999994,0.3,0.0783333
73,Fast Driver / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0737108,12.2496,0.06875,-1.17939e-06,-5.87959,-4.79224,-9.62321,-19.2994,-32.3665,-18.0675,-8.18768,-22.2861,1.25,-300.0,3.08868e-18,146.138,0.0854167,-0.016666699999999993,0.3,0.08041669
74,Techno Nail / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0731533,12.3159,0.0895833,-1.19859e-06,-5.78496,-5.19732,-9.40436,-19.1315,-31.1629,-18.5015,-7.59647,-20.5533,0.963889,-299.694,8.817070000000001e-18,153.227,0.0541667,0.035416600000000006,0.3,0.06479168
75,Needle Punch / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.073804,12.241,0.0854167,-1.74287e-06,-5.93448,-5.20012,-9.35922,-18.301,-28.3616,-18.3173,-7.21414,-18.552,0.763889,-260.1,-2.76494e-16,131.968,0.0458333,0.0395834,0.3,0.05770832
76,Front Row / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0694963,12.7627,0.06875,-1.58475e-06,-5.91721,-5.43976,-10.464,-19.4508,-30.1541,-18.7499,-7.5991,-18.9912,0.577778,-261.918,6.38496e-16,132.397,0.03125,0.037500000000000006,0.3,0.0425
77,Steel Toe / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0738143,12.2389,0.0958333,-2.45363e-06,-5.69904,-4.95851,-9.6604,-18.8202,-29.6231,-17.8158,-7.52557,-19.2228,1.28056,-261.393,1.20872e-15,132.316,0.0833333,0.012499999999999997,0.3,0.0870833
78,Impact Driver / HEAVY,PUNCH,HEAVY,1,1,0.922571,0.0712767,12.5412,0.0729167,-8.12092e-07,-5.94316,-5.38133,-9.60258,-19.8232,-32.6168,-19.1085,-8.28493,-21.8582,0.677778,-300.0,-1.4378100000000001e-19,141.648,0.0541667,0.018750000000000003,0.3,0.059791699999999996
79,Concrete Punch / HEAVY,PUNCH,HEAVY,0,1,0.922571,0.0751905,12.0791,0.127083,-2.02238e-06,-5.64931,-5.01748,-9.30775,-18.0639,-28.7259,-17.8158,-7.13235,-18.4778,1.25833,-260.399,-7.47634e-16,132.432,0.0833333,0.0437497,0.3,0.09645821
80,Clean Attack / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0696593,12.7409,0.0333333,-3.92248e-07,-6.20757,-5.32011,-10.2364,-19.6428,-31.8326,-19.0074,-8.24603,-21.5055,0.566667,-300.0,-1.0425900000000001e-19,151.955,0.0333333,0.0,1.0,0.0333333
81,Pressure Point / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0681855,12.928,0.01875,-1.52629e-07,-6.07992,-5.69213,-10.5155,-19.546,-30.3207,-19.5291,-7.50012,-19.2015,0.505556,-261.962,-6.13128e-16,132.214,0.0104167,0.0083333,1.0,0.01875
82,Warehouse Knock / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.07098,12.5791,0.0604167,-6.86885e-07,-5.84982,-5.06111,-10.4408,-19.4611,-30.223,-18.3783,-7.50021,-19.1165,0.980556,-261.862,4.8547e-16,132.273,0.0541667,0.006249999999999999,1.0,0.0604167
83,Fast Driver / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0736375,12.2599,0.06875,-7.77402e-07,-5.95803,-5.10726,-9.54639,-18.1287,-29.2345,-18.3162,-7.52599,-19.3043,0.844444,-271.376,-2.06886e-16,138.224,0.0583333,0.010416700000000008,1.0,0.06875
84,Techno Nail / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.072437,12.4033,0.0291667,-2.21488e-07,-6.02826,-5.46605,-9.4765,-18.2897,-28.6922,-18.7836,-7.10174,-18.0564,0.55,-260.446,-4.06592e-16,132.307,0.01875,0.010416700000000001,1.0,0.0291667
85,Needle Punch / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0697211,12.7353,0.03125,-1.65566e-07,-6.25557,-5.67345,-10.034,-18.6844,-28.8252,-19.2097,-7.7193,-18.6729,0.508333,-260.583,-6.66194e-16,132.353,0.0,0.03125,1.0,0.03125
86,Front Row / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0645132,13.4089,0.0104167,-1.90938e-08,-6.26887,-6.17641,-11.2711,-20.0075,-30.4333,-20.0196,-7.56288,-19.0324,0.386111,-262.051,-4.1792e-16,132.006,0.0,0.0104167,1.0,0.0104167
87,Steel Toe / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0713028,12.5397,0.1,-1.01132e-06,-5.82588,-5.25206,-10.129,-19.0449,-29.8962,-18.5154,-7.65459,-19.337,0.872222,-261.53,1.10999e-15,132.022,0.0520833,0.047916700000000007,1.0,0.1
88,Impact Driver / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0692853,12.7887,0.01875,-1.21669e-07,-6.38668,-5.88146,-9.85636,-18.5775,-29.4341,-19.7973,-7.59696,-19.0956,0.5,-280.423,1.27797e-16,143.104,0.0,0.01875,1.0,0.01875
89,Concrete Punch / SUSTAIN,PUNCH,SUSTAIN,1,1,0.922571,0.0731569,12.3173,0.0729167,-5.69113e-07,-5.77069,-5.2282,-9.61503,-18.5239,-28.6686,-18.4378,-7.20139,-18.2652,0.880556,-260.397,1.30411e-15,132.109,0.05,0.022916699999999998,1.0,0.0729167
